;descricao_periodo;codigo_uf;cor;cor_descricao;variacao_absoluta;variacao_relativa
1;2004-2021;RO;1;Indígena;-16;-2,4
2;2004-2021;RO;2;Branca;8714;161,7
3;2004-2021;RO;4;Preta;624;339,1
4;2004-2021;RO;6;Amarela;1184;62,1
5;2004-2021;RO;8;Parda;-3140;-9,8
6;2004-2021;AC;1;Indígena;100;666,7
7;2004-2021;AC;2;Branca;-9124;-33,1
8;2004-2021;AC;4;Preta;397;778,4
9;2004-2021;AC;6;Amarela;226;729
10;2004-2021;AC;8;Parda;12421;540,5
11;2004-2021;AM;1;Indígena;367;417
12;2004-2021;AM;2;Branca;12239;300,6
13;2004-2021;AM;4;Preta;774;353,4
14;2004-2021;AM;6;Amarela;487;405,8
15;2004-2021;AM;8;Parda;9374;16,8
16;2004-2021;RR;1;Indígena;294;1960
17;2004-2021;RR;2;Branca;7670;6612,1
18;2004-2021;RR;4;Preta;526;17533,3
19;2004-2021;RR;6;Amarela;-144;-27,2
20;2004-2021;RR;8;Parda;13910;10007,2
21;2004-2021;PA;1;Indígena;432;576
22;2004-2021;PA;2;Branca;16558;360,7
23;2004-2021;PA;4;Preta;1347;456,6
24;2004-2021;PA;6;Amarela;596;567,6
25;2004-2021;PA;8;Parda;-1688;-2,1
26;2004-2021;AP;1;Indígena;224;306,8
27;2004-2021;AP;2;Branca;7116;131,4
28;2004-2021;AP;4;Preta;427;74
29;2004-2021;AP;6;Amarela;491;128,5
30;2004-2021;AP;8;Parda;12252;150,6
31;2004-2021;TO;1;Indígena;384;526
32;2004-2021;TO;2;Branca;-3185;-7,9
33;2004-2021;TO;4;Preta;1695;460,6
34;2004-2021;TO;6;Amarela;685;393,7
35;2004-2021;TO;8;Parda;25449;406,9
36;2004-2021;MA;1;Indígena;339;339
37;2004-2021;MA;2;Branca;-27038;-39
38;2004-2021;MA;4;Preta;1256;310,9
39;2004-2021;MA;6;Amarela;1230;1537,5
40;2004-2021;MA;8;Parda;17703;443,2
41;2004-2021;PI;1;Indígena;108;900
42;2004-2021;PI;2;Branca;9271;358
43;2004-2021;PI;4;Preta;936;431,3
44;2004-2021;PI;6;Amarela;391;340
45;2004-2021;PI;8;Parda;-24741;-38,7
46;2004-2021;CE;1;Indígena;102;566,7
47;2004-2021;CE;2;Branca;-3851;-5,2
48;2004-2021;CE;4;Preta;566;1204,3
49;2004-2021;CE;6;Amarela;223;1486,7
50;2004-2021;CE;8;Parda;16565;650,4
51;2004-2021;RN;1;Indígena;-60;-22
52;2004-2021;RN;2;Branca;-7124;-18,6
53;2004-2021;RN;4;Preta;-558;-25,3
54;2004-2021;RN;6;Amarela;-473;-35,6
55;2004-2021;RN;8;Parda;-911;-3,8
56;2004-2021;PB;1;Indígena;204;334,4
57;2004-2021;PB;2;Branca;-20316;-29,9
58;2004-2021;PB;4;Preta;1414;721,4
59;2004-2021;PB;6;Amarela;670;690,7
60;2004-2021;PB;8;Parda;19880;352,8
61;2004-2021;PE;1;Indígena;786;778,2
62;2004-2021;PE;2;Branca;-3831;-4,1
63;2004-2021;PE;4;Preta;2412;511
64;2004-2021;PE;6;Amarela;1807;74,8
65;2004-2021;PE;8;Parda;36326;567,9
66;2004-2021;AL;1;Indígena;162;91,5
67;2004-2021;AL;2;Branca;1714;9,4
68;2004-2021;AL;4;Preta;105;7,6
69;2004-2021;AL;6;Amarela;211;57,7
70;2004-2021;AL;8;Parda;6024;40,4
71;2004-2021;SE;1;Indígena;-28;-71,8
72;2004-2021;SE;2;Branca;-4309;-57,7
73;2004-2021;SE;4;Preta;10;3,2
74;2004-2021;SE;6;Amarela;-369;-85,4
75;2004-2021;SE;8;Parda;-24558;-77,3
76;2004-2021;BA;1;Indígena;184;150,8
77;2004-2021;BA;2;Branca;11656;122,1
78;2004-2021;BA;4;Preta;2033;121,5
79;2004-2021;BA;6;Amarela;274;200
80;2004-2021;BA;8;Parda;-91294;-55,9
81;2004-2021;MG;1;Indígena;276;21
82;2004-2021;MG;2;Branca;18259;9
83;2004-2021;MG;4;Preta;4203;41,3
84;2004-2021;MG;6;Amarela;61;3,2
85;2004-2021;MG;8;Parda;20915;28,3
86;2004-2021;ES;1;Indígena;-111;-32
87;2004-2021;ES;2;Branca;-9360;-17,9
88;2004-2021;ES;4;Preta;-106;-3,1
89;2004-2021;ES;6;Amarela;-90;-15,2
90;2004-2021;ES;8;Parda;1691;7,2
91;2004-2021;RJ;1;Indígena;-346;-36
92;2004-2021;RJ;2;Branca;-46956;-30
93;2004-2021;RJ;4;Preta;-1641;-17,3
94;2004-2021;RJ;6;Amarela;-623;-43,4
95;2004-2021;RJ;8;Parda;-18350;-35,5
96;2004-2021;SP;1;Indígena;-69;-6
97;2004-2021;SP;2;Branca;-94972;-15,4
98;2004-2021;SP;4;Preta;-1833;-6,8
99;2004-2021;SP;6;Amarela;-1818;-26,3
100;2004-2021;SP;8;Parda;-9067;-9,1
101;2004-2021;PR;1;Indígena;529;419,8
102;2004-2021;PR;2;Branca;24806;19,8
103;2004-2021;PR;4;Preta;886;43
104;2004-2021;PR;6;Amarela;-322;-23,5
105;2004-2021;PR;8;Parda;1159;10,7
106;2004-2021;SC;1;Indígena;179;57,2
107;2004-2021;SC;2;Branca;26389;34,1
108;2004-2021;SC;4;Preta;-78;-3,6
109;2004-2021;SC;6;Amarela;214;135,4
110;2004-2021;SC;8;Parda;3265;139,8
111;2004-2021;RS;1;Indígena;-72;-11,1
112;2004-2021;RS;2;Branca;-19299;-14,2
113;2004-2021;RS;4;Preta;-99;-2,5
114;2004-2021;RS;6;Amarela;-530;-56
115;2004-2021;RS;8;Parda;-15501;-64
116;2004-2021;MS;1;Indígena;397;226,9
117;2004-2021;MS;2;Branca;13593;65,1
118;2004-2021;MS;4;Preta;337;22,4
119;2004-2021;MS;6;Amarela;-642;-41,1
120;2004-2021;MS;8;Parda;-683;-3,8
121;2004-2021;MT;1;Indígena;974;877,5
122;2004-2021;MT;2;Branca;41380;496,1
123;2004-2021;MT;4;Preta;3053;728,6
124;2004-2021;MT;6;Amarela;779;556,4
125;2004-2021;MT;8;Parda;10282;22,7
126;2004-2021;GO;1;Indígena;-711;-42,3
127;2004-2021;GO;2;Branca;-22239;-28,4
128;2004-2021;GO;4;Preta;-93;-3,3
129;2004-2021;GO;6;Amarela;-451;-29
130;2004-2021;GO;8;Parda;1046;3,2
131;2004-2021;DF;1;Indígena;-5441;-38
132;2004-2021;DF;2;Branca;-7796;-8,4
133;2004-2021;DF;4;Preta;1779;138,7
134;2004-2021;DF;6;Amarela;-14;-0,8
135;2004-2021;DF;8;Parda;22263;170,5
